=== LOVAYATAK STRATEJİSİ ===

Öncelik	Alan	Mevcut Durum	Hedef	Aksiyon	Tahmini Etki
1	ACİL: Spam Temizliği	105K BL / 231 RD = spam riski	Temiz profil	Backlink audit yapılması önerilir, toxic linkleri Google Disavow ile reddedilmesi önerilir	Kritik
2	DR Artırma	DR 31	DR 45+	Temiz profil sonrası kaliteli link building kampanyası	Çok Yüksek
3	Refdomains	231 RD	750+ RD	Farkli domainlerden doğal link kazanımı - PR, blog, işbirlikleri	Çok Yüksek
4	Yatak Hakimiyeti	yatak #9, tek kişilik #6, çift kişilik #7	Top 3	Ana yatak sayfalarını zenginleştirilmesi önerilir, karşılaştırma tabloları eklenmesi önerilir	Çok Yüksek
5	Uyku Blog	Uyku taktikleri #1, bebek uyku #1	Genişletilmesi önerilir	Uyku/sağlık blog stratejisi devam etmesi önerilir, daha fazla uzun kuyruk içerik	Yüksek
6	Ev Tekstili	Nevresim #10, battaniye #10	Top 5	Ev tekstili kategori sayfalarını içerik zenginleştirme, rehber içerikler	Orta
7	Yatas Gap	Yatas 614K trafik vs 50K	200K+ trafik	Yatas'in güçlü olduğu KW'leri hedeflenmesi önerilir, karşılaştırma içerikleri	Yüksek
8	Cross-sell	Kategoriler bağımsız	Bağlı	Yatak > baza > başlık > nevresim > alez şeklinde cross-sell linkleri	Orta
9	Sayfa Sayısı	~1300 sayfa	2000+	Yeni ürün sayfaları, rehber içerikler, karşılaştırma sayfaları oluşturulması önerilir	Orta
10	Lokal SEO	Mağazalar sayfası var	Genişletilmesi önerilir	Her mağaza için ayrı sayfa, Google Business Profile optimizasyonu	Orta

=== ORTAK STRATEJİLER (ÜÇ MARKA İÇİN) ===

Alan	Strateji	Detay
Teknik SEO	Core Web Vitals	Tüm sitelerde sayfa hızı, LCP, CLS, FID optimizasyonu yapılması önerilir
Schema Markup	Product Schema	Ürün sayfalarında fiyat, stok, yorum schema'ları eklenmesi önerilir
Schema Markup	FAQ Schema	Blog ve rehber sayfalarda FAQ schema eklenmesi önerilir
Schema Markup	Breadcrumb Schema	Tüm sayfalarda breadcrumb schema aktif edilmesi önerilir
Content Hub	Pillar Pages	Her ana kategori için kapsamlı rehber sayfalar (pillar content) oluşturulması önerilir
Content Hub	Topic Clusters	Blog yazılarıni kategori bazlı cluster'lara organize edin
Mobile	Mobile-First	Mobil kullanıcı deneyimini önceliklendirin - mobilya arama %60+ mobilden
Video	YouTube	Ürün tanıtım videoları, montaj rehberleri, dekorasyon ipuçları için YouTube kanalı
UGC	Kullanici Yorumları	Ürün sayfalarında gerçek müşteri yorumları ve fotoğrafları gösterin
Seasonal	Sezonsal İçerik	Bahar dekorasyonu, yaz bahçe mobilyası, kış kampanyaları gibi sezonsal içerikler
